temp(c),pressure(mb),humidity(),cloud cover(),wind speed(mph),wind dir.,precip.(mm)
28,1005,85,22,7,6,0.1
27,1005,83,15,6,7,0
28,1006,80,15,5,7,0
33,1007,70,16,6,7,0
35,1006,61,32,7,6,0
35,1004,65,38,6,6,0
32,1005,75,15,4,6,0.1
30,1004,78,8,2,12,0.1
29,1004,81,12,2,14,0
30,1005,79,14,1,10,0
34,1005,64,34,0,3,0
36,1004,57,62,1,7,1.6
35,1002,63,37,2,12,3
32,1002,75,25,3,8,0.1
30,1004,76,22,3,9,0
29,1004,80,23,3,8,0
29,1004,82,16,2,8,0.1
30,1005,79,11,2,7,0.1
34,1006,65,20,4,6,0.4
36,1005,57,38,3,4,1.7
35,1003,62,39,4,3,2.6
31,1004,75,32,5,5,1
29,1005,80,20,5,6,0
28,1005,83,15,5,6,0.1
28,1005,84,20,4,5,0
29,1006,83,14,6,5,0
33,1007,73,17,7,5,0.4
35,1005,62,38,6,5,0.8
34,1003,64,36,6,5,0.1
31,1004,75,30,5,5,0
29,1006,80,47,6,5,0
28,1006,85,42,4,5,0.1
27,1005,85,73,3,5,0.4
29,1006,79,63,4,6,0.5
34,1006,67,46,4,6,0
35,1005,59,67,5,5,0.2
34,1003,63,74,5,5,0.3
31,1003,73,57,4,5,0
29,1005,77,54,6,7,0.2
28,1005,84,71,5,10,2.7
27,1004,91,79,5,15,5.2
27,1005,89,61,7,12,1
30,1006,79,42,9,3,0.3
31,1005,74,50,11,3,0.9
32,1003,78,68,8,3,1.8
32,1003,88,55,4,3,1.9
29,1005,92,55,5,3,0.8
27,1004,93,66,6,3,0.2
26,1002,92,99,6,3,0.1
26,1003,91,99,6,3,0.1
28,1005,90,78,7,4,0.2
30,1004,83,39,9,4,0.1
31,1002,77,42,8,3,0.1
31,1003,86,18,6,3,0
28,1005,90,13,6,3,0.1
27,1004,89,13,4,7,0.2
27,1003,86,8,2,14,0.3
28,1004,83,5,2,13,0.1
32,1006,68,7,3,13,0
34,1004,58,8,5,13,0
34,1002,58,4,7,14,0
30,1003,66,3,6,13,0
28,1005,65,3,5,13,0
27,1004,70,2,6,13,0.1
29,1016,38,1,2,6,0
27,1014,42,5,3,6,0
20,1015,57,21,3,5,0
17,1016,63,27,3,4,0
29,1000,74,0,6,6,0
28,1000,77,0,4,6,0
30,1000,73,0,5,4,0
34,1000,58,0,2,3,0
37,998,46,24,4,6,0
37,997,41,62,7,15,0
34,998,50,30,5,11,0
32,999,61,0,2,4,0
31,1000,69,0,0,5,0
30,999,74,5,1,7,0
32,1000,63,9,4,8,0.1
36,1000,49,0,7,11,0
38,998,36,0,10,14,0
38,997,38,0,4,15,0
35,998,47,0,4,11,0
31,999,68,0,4,4,0
29,999,71,0,3,6,0
28,999,75,0,3,6,0
31,1000,60,0,3,8,0
37,999,36,0,7,12,0
40,997,25,0,9,14,0
39,996,32,0,2,14,0
36,996,39,0,4,10,0
33,997,58,0,5,3,0
30,997,67,0,5,4,0
28,997,78,0,7,5,0
30,998,71,0,8,5,0
36,998,48,0,4,5,0
39,996,37,0,2,9,0
39,995,38,0,4,15,0
37,996,45,0,6,12,0
33,997,73,0,15,4,0
31,997,82,0,15,6,0
30,998,79,0,11,5,0
30,999,76,0,14,5,0
34,1000,65,0,13,5,0
35,998,54,0,12,9,0
33,996,50,0,9,16,0
34,998,60,2,9,12,0
31,1000,83,5,13,5,0.1
28,1000,84,1,12,5,0
28,1001,87,6,10,5,0.4
28,1002,84,8,14,6,0.6
31,1002,73,16,17,6,0
31,1001,73,42,11,6,0
32,1000,68,22,6,4,0
31,1001,73,4,7,4,0
28,1002,86,13,5,6,0.1
27,1002,87,23,7,6,0.1
27,1002,87,36,4,5,0.1
27,1003,86,48,5,4,0.9
28,1002,86,57,5,4,5.2
29,1001,82,69,4,2,12.53
27,1000,88,61,2,3,2.1
29,1000,84,46,5,3,0
26,1001,90,53,6,2,0
27,1002,88,59,5,3,0
27,1001,88,54,1,3,0.1
28,1002,90,63,4,3,0.2
30,1002,82,53,6,4,0.1
32,1000,69,59,4,5,0.2
31,999,68,40,3,8,0
31,1000,74,35,3,15,0
30,1001,78,40,3,12,0.1
28,1001,82,27,3,3,0.2
27,1000,85,31,2,4,0.1
28,1001,80,26,4,4,0.1
31,1001,70,0,2,5,0
34,999,61,0,3,9,0
34,997,59,0,3,10,0
31,999,66,0,4,8,0
29,1000,73,0,5,7,0
28,1000,77,0,5,6,0
28,999,78,0,7,6,0
30,1000,76,0,7,7,0
33,1001,67,9,7,7,0
33,999,64,18,5,6,0
32,997,67,0,4,6,0
32,998,65,0,5,6,0
31,999,70,9,5,6,0
30,999,76,18,6,5,0.2
28,998,79,6,5,4,0.4
29,999,76,12,3,6,0.1
33,999,66,0,3,5,0
35,997,55,15,5,3,0
35,995,55,47,6,3,0
32,996,66,50,2,5,0
30,998,78,40,2,6,0
29,998,82,20,2,6,0
28,997,86,5,1,6,0.1
30,998,78,0,4,6,0.1
33,997,64,0,2,9,0
36,995,53,17,2,15,0
35,994,51,45,2,15,0
33,995,61,22,2,11,0
32,997,72,0,4,5,0
30,997,78,0,5,6,0
28,996,83,0,3,6,0
30,997,77,0,3,6,0
35,997,57,13,4,10,0
37,996,43,26,4,13,0
36,995,44,0,2,15,0
34,996,54,0,2,12,0
31,997,67,0,4,5,0
30,998,73,0,4,5,0
28,999,80,0,3,6,0
30,1000,75,0,5,10,0
34,1001,61,0,4,14,0
37,999,49,0,4,16,0
37,998,46,0,7,11,0
34,999,57,0,5,3,0
32,1000,71,0,6,5,0
31,1000,76,0,8,5,0
30,999,79,0,8,5,0
28,1000,82,0,5,5,0
30,1000,73,0,2,5,0
35,998,56,15,5,3,0
34,997,59,45,4,1,0
33,998,63,44,7,3,0.1
31,999,80,34,10,5,0.7
29,1000,84,7,7,5,0.8
27,999,84,0,6,6,0
28,1000,80,0,9,6,0
32,1000,68,0,6,6,0
35,998,56,0,4,6,0
35,997,55,0,3,6,0
33,999,63,20,4,5,0.3
31,1000,75,56,8,8,0.7
29,1000,82,53,7,7,0.1
27,999,90,45,1,6,0
30,1000,75,0,4,7,0
33,1000,62,0,2,12,0
36,998,54,24,0,14,0
35,997,53,66,0,12,0
33,998,59,37,1,10,0
33,999,65,0,1,4,0.1
31,999,72,5,0,6,0.2
29,998,81,10,2,3,0.3
31,998,73,0,2,8,0
34,999,58,14,1,14,0
37,997,49,50,5,14,0
37,995,49,58,6,14,0
34,996,55,42,2,10,0
33,997,60,37,3,3,0
32,997,68,41,2,7,0.2
30,996,75,28,2,9,0.2
31,997,70,22,2,9,0.3
34,998,56,35,3,11,0.5
37,996,50,60,4,12,0
36,995,50,63,5,12,0
32,996,65,56,2,10,0.1
30,997,79,44,5,4,0.3
30,997,74,29,5,5,0.4
28,996,80,0,4,5,0
29,997,81,0,4,5,0
32,998,69,11,3,9,0
34,996,61,21,2,14,0
32,995,62,0,3,14,0
31,997,69,9,2,14,0
29,998,82,29,4,12,0.1
28,998,86,30,3,6,0.2
27,998,87,17,1,5,0.1
28,998,83,0,1,4,0
31,999,73,9,2,7,0
33,997,65,34,2,14,0.6
33,996,63,47,3,11,1.3
30,997,76,32,1,2,0.1
27,998,92,0,1,2,0
26,999,92,0,1,4,0
27,998,90,9,0,4,0
29,999,81,27,2,8,0.1
32,1000,66,33,2,14,0.1
34,998,60,40,4,14,0
34,997,58,22,2,13,0
32,999,69,7,1,10,0.4
30,1000,76,20,4,5,1.1
28,1000,84,12,6,5,0.7
27,999,89,6,4,5,0.2
29,1000,82,19,2,5,1.5
32,1000,68,27,2,9,2.3
34,998,62,40,3,16,0
34,996,57,19,3,16,0
32,997,67,0,3,12,0
31,998,73,0,3,5,0
30,998,78,8,3,5,0
28,997,85,16,4,6,0.1
29,998,81,0,6,6,0
32,998,71,10,4,5,0
33,996,66,20,5,4,0
33,995,66,15,9,4,0
32,997,69,38,7,4,0
31,998,73,17,7,5,0
30,998,79,10,6,5,0
29,998,84,20,7,5,0
30,998,79,0,11,5,0
33,998,67,15,12,5,0
34,996,60,38,11,5,0
34,995,59,29,8,6,0
32,997,67,37,10,5,0
31,999,72,31,12,6,0
30,1000,77,11,8,6,0
28,999,82,21,3,6,0
30,1000,79,12,9,6,0
33,1000,67,46,11,5,0
34,998,59,58,10,6,0
34,996,56,40,8,6,0
32,998,63,28,10,6,0
31,1000,70,44,13,6,0
30,1000,76,72,11,6,0
28,999,81,50,8,5,0
29,1000,79,14,11,5,0
31,1000,68,54,12,5,0.1
34,998,59,67,11,5,0.1
34,996,58,46,10,6,0
32,998,64,45,10,6,0
32,999,64,47,11,6,0.1
31,1000,72,49,10,6,0.2
29,1000,79,36,9,5,0.1
29,1000,76,33,11,5,0
32,1000,65,44,13,5,0
34,998,58,43,12,5,0
34,996,59,30,10,6,0
32,998,62,36,11,6,0
32,999,67,49,12,6,0
30,1000,78,58,9,6,0
28,1000,89,49,6,6,0
31,1000,70,35,9,6,0
37,1000,45,40,11,6,0
40,998,35,30,12,6,0
41,995,32,0,12,6,0
39,995,37,15,13,6,0
37,996,44,47,11,6,0
35,996,50,42,9,7,0.1
29,997,81,20,5,7,0.1
29,997,81,15,6,6,0
31,997,74,51,2,6,0.3
33,995,63,55,3,6,0.6
33,994,64,45,3,7,0.3
32,995,71,47,4,5,0
31,996,76,46,7,5,0
30,996,80,42,7,7,0.3
28,995,84,39,3,5,0.8
31,996,75,54,4,6,0.8
38,996,51,62,5,13,1.8
39,995,47,58,5,11,5.6
38,993,47,64,6,4,4.2
37,993,50,44,9,5,0.1
33,995,62,57,11,6,2.3
32,996,71,73,7,8,6.3
31,995,75,84,3,9,6.3
31,996,73,79,5,11,5.4
34,998,61,63,7,7,0.5
36,997,52,89,7,8,2.5
38,995,50,61,5,8,3.7
37,995,55,58,4,7,2.3
35,996,65,80,6,7,3.4
31,997,72,56,7,8,1.7
29,996,79,66,3,9,3.9
30,997,79,88,3,8,4.7
32,998,73,85,7,12,1
33,997,69,51,10,12,1.5
35,995,58,44,8,11,0.2
34,995,58,40,7,11,0.1
32,996,69,37,5,10,2.2
30,996,77,56,7,11,6.7
30,995,79,66,7,12,6.7
31,995,76,46,5,13,3.4
34,995,65,45,5,11,0.9
36,995,60,53,3,12,1.8
35,994,62,73,5,12,12.53
31,995,79,83,10,6,12.53
30,996,84,48,6,6,5.5
29,995,88,63,6,5,6.8
28,994,89,96,9,5,12.53
28,995,91,100,13,7,12.53
29,997,92,100,14,11,12.53
30,997,86,96,12,11,12.53
31,997,78,83,9,12,1.5
